40,かへらむそらも わかぬはるのの,春,,,,,,,,,,,,,,,,,,,,,,
41,かねそなる けふもむなしく すきやせむ,,,,,,,,,,,,,,,,,,,▽,,,,時列▽は判読不鮮明・要確認
42,きけとものりに とほきわかみよ,,,,,,,,,,,,,,,釈,人,,,,,,,
43,よはひのみ ほとけにちかく はやなりて,,,,,,,,,,,,,,,釈,,,,,,,,
44,むねならぬつきや みてるをもみむ,秋,月,,,,,,,,,,,光,,,,,,,夜,,,
45,きりはるる やまになくさめ ものおもひ,秋,,恋,,,,,山,,□,,聳,,,,,,,,,,,居列□は要確認
46,まつをはあきの かせもとはすや,秋,松,恋,,,木,,,,,,,,,,,,,,,風,,
47,ひとはたか こころのすきを たつぬらむ,,,恋,,,□,,,,,,,,,,人,,,,,,,植列□は要確認
48,かとふるみちの たえぬさへうし,,,,,,,,,,居,,,,,,,,,,,,,
49,つまきこる かけものてらは かすかにて,,,,,,×,,,,,,,,,釈,,,,,,,,植列×は要確認
50,こけにいくへの しものころもて,冬,,,,,×,,,,,降,,,,,,,衣,,,,,植列×は要確認
51,おきゐつつ みをうちわふる ふゆのよに,冬,,,,,,,,,,,,,,,人,,,,夜,,,
52,つきさむくなる ありあけのそら,冬,月,,,,,,,,,,,光,,,,,,,夜,,,
53,あしたつも うきふししるく ねにたてて,,,,,,×,鳥,×,,,,,,,,,,,,,,聞,植列・山列の×は要確認
54,こころこころに さわくなみかせ,,,,,,,,,水,,,,,,,,,,,,風,
55,やまかはも きみによるよを いつかみむ,,,,,,,,山,水,,,,,,,×,,,,,,,人列×は要確認
56,あやふきくにや たみもくるしき,,,,,,,,,,,,,,,,人,,,,,,,
57,うゑしより たのみをつゆに あきかけて,秋,,,,,□,,,,,降,,,,,,,,,,,,植列□は要確認
58,かりほのこはき かつちるもをし,秋,,,,,草,,,,□,,,,,,,,,,,,,居列□は要確認
59,ころもうつ ゆふへすくすな かりのこゑ,秋,衣,,,,,鳥,,,,,,,,,,,衣,,夕,,,聞,
60,むなしきつきを うらみてやねむ,秋,月,恋,,,,,,,,,,光,,,,,,,夜,,,
61,とはぬよの こころやりつる あめはれて,,,恋,,,,,,,,降,,,,,,,,,夜,,,
62,みをしるにさへ ひとそなほうき,,,恋,,,,,,,,,,,,,人,,,,,,,
63,わすれねと いひしをいかに ききつらむ,,,恋,,,,,,,,,,,,,,,,,,,,
64,かせのたよりも かくやたゆへき,,,恋,,,,,,,,,,,,,,,,,,,風,
65,はなははや ちるさへまれの くれことに,春,,,,,木,,,,,,,,,,,,,夕,,,,
66,ひなかきのみや ふるさとのはる,春,,,,,,,,,居,,□,,,,,,,,,,,聳列□は要確認
67,いとゆふの ありなしをたた わかよにて,春,,,,,×,,,,,,,,,,人,,,,,,,植列×は要確認
68,かすみにかかる あまのつりふね,春,船,,,,,,,水,,,聳,,,,人,,,,,,,
69,なかめせむ つきなまたれそ なみのうへ,秋,月,,,,,,,水,,,,光,,,,,,,夜,,,
70,たたにやあきの よをあかしかた,秋,,,,,,,,水,,,,,,,,名,,,夜,,,
71,とほつまを うらみにたへす しかなきて,秋,,,,,,獣,,,,,,,,,×,,,,,,,人列×は要確認
72,おもひのやまに みをやつくさむ,,,,,,,×,,,,,,,,,人,,,,,,,動列×は要確認
73,はらふなよ いつくかちりの うちならぬ,,,,,,,,,,,,,,,,,,,,,,,
74,みきりはかりを いにしへのあと,,,,,述,,,,,□,,,,,,,,,,,,,居列□は要確認
75,うゑおきし ほかはくさきも のへにして,,,,,,◎,,,,,,,,,,,,,,,,,植列◎は要確認
76,かせはさなへを わくるさはみつ,夏,,,,,草,,,水,,,,,,,,,,,,風,,
77,こゑをほに いてしもはかな とふほたる,夏,,恋,,,,虫,,,,,,,,,,,,,,,聞,
78,いろにこころは みえぬものかは,,,恋,,,,,,,,,,,,,,,,,,,,
79,たかそてと なせはかすみに ひかるらむ,春,,恋,,,,,,,,,聳,,,,人,,衣,,,,,
80,はるさへかなし ひとりこすやま,春,,,旅,,,,山,,,,,,,,人,,,,,,,
81,おのかよは かりのわかれち かすたらて,春,,,,,,鳥,,,,,,,,,,,,,,,,
82,あきをかけむも いさやたまのを,秋,,,,述,,,,,,,,,,,,,,,,,,
83,みのうさは としもふはかり なかきよに,秋,,,,述,,,,,,,,,,,人,,,夜,,,
84,みえしわれにと つきやゆくらむ,秋,月,,,,,,,,,,,光,,,,人,,,夜,,,
85,よしさらは そらもしくれよ そてのうへ,冬,,,,,,,,,,降,,,,,,,衣,,,,,
86,たくひたにある おもひならはや,,,,,,,,,,,,,,,,,,,,,,,
87,たれきてか あらしにたへむ やまのかけ,,,,,,,,山,,,,,,,,人,,,,,風,
88,おくはくもゐる いはのかけみち,,,,,,,,山,,,,聳,,,,,,,,,,,
89,おちそめし たきつせいつく よしのかは,,,,,,×,,,水,,,,,,,,名,,,,,,動列×は要確認
90,はやくのことを なみたにそとふ,,涙,,,述,,,,,,,,,,,,,,,,,
91,ものことに おいはこころの あともなし,,,,,述,,,,,,,,,,,,,,,,,,
92,めてこしやとは あさちふのつき,秋,月,,,,草,,,,居,,,光,,,,,,,夜,,,
93,のへのつゆも そてよりおきや ならふらむ,秋,,,,,,,,,,降,,,,,,,衣,,,,,
94,やまこそゆくへ いろかはるなか,秋,,恋,,,□,,山,,,,,,,,,,,,,,,植列□は要確認
95,つれもなき ひとにこのよを たのまめや,,,恋,,,,,,,,,,,,,人,,,,,,,
96,しぬるくすりは こひにえまほし,,,恋,,,,,,,,,,,,,,,,,,,,
97,はちすはの うへをちきりの かきりにて,,,恋,,,×,,,,,,,,,釈,,,,,,,,植列×は要確認
98,ちるやたまゆら ゆふたちのあめ,夏,,,,,,,,,,降,,,,,,,,×,,,,時列×は要確認
99,くもかせも みはてぬゆめと さむるよに,,夢,,,,,,,,,,聳,,,,,,,,夜,風,,
00,わかかけなれや ふくるともしひ,,,,,,,,,,,,,,,,人,,,,夜,,,
